,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG
0,680,200 EASTERN PKWY,BROOKLYN,4008.0,0,116042353,113590,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,113906.0,113970,NY,200 EASTERN PKWY,Museums,11238-0000,11238.0,A50,40.6709108,-73.9633157304714
1,2217,29 W 17TH ST FL 10,NEW YORK,294000.0,828707,203132925,631121,36061.0,29 W 17TH ST NEW YORK NY 10011-5507,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,A68,0.0,831393,NY,29 W 17TH ST,Music,10011-5507,10011.0,A68,40.7386753,-73.9937002
2,4986,3206 CLARENDON RD,BROOKLYN,15000.0,14300,113216404,131412,36047.0,3206 CLARENDON RD BROOKLYN NY 11226-6418,CARIBBEAN CUP INC,A23,118666.0,133182,NY,3206 CLARENDON RD,Cultural & Ethnic Awareness,11226-6418,11226.0,A23,40.64316485,-73.9465375829545
3,7705,NY TERMINAL MARKET RM C27,BRONX,0.0,134907,133071647,134907,36005.0,NY TERMINAL MARKET BRONX NY 10474-0000,KOREAN PRODUCE ASSOCIATION INC,A23,0.0,134907,NY,NY TERMINAL MARKET,Cultural & Ethnic Awareness,10474-0000,10474.0,A23,,
4,9642,50 VANDERBILT ST 20TH FL,NEW YORK,0.0,95656,521902671,145915,36061.0,50 VANDERBILT ST NEW YORK NY 10017-3803,BRITISH-AMERICAN BUSINESS COUNCIL,A23,0.0,95656,NY,50 VANDERBILT ST,Cultural & Ethnic Awareness,10017-3803,10017.0,A23,42.89251825,-78.80776325
5,12027,1000 FIFTH AVENUE,NEW YORK,17904.0,0,131956457,420519,36061.0,1000 FIFTH AVENUE NEW YORK NY 10028-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,432229.0,433439,NY,1000 FIFTH AVENUE,Museums,10028-0000,10028.0,A50,42.7976632,-73.9527343
6,14269,40 E 52ND ST,NEW YORK,0.0,0,203246082,1060062,36061.0,40 E 52ND ST NEW YORK NY 10022-5911,NP MUSEUM GARDENS INC,A50,2513885.0,2514086,NY,40 E 52ND ST,Museums,10022-5911,10022.0,A50,40.7585317,-73.974069171577
7,18213,152 MADISON AVE RM 1702,NEW YORK,0.0,85918,42565109,229444,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,174577.0,260525,NY,152 MADISON AVE,Cultural & Ethnic Awareness,10016-5464,10016.0,A23,40.7467075,-73.984055
8,19947,385 5TH AVE,NEW YORK,0.0,33440,133443010,796369,36061.0,385 5TH AVE NEW YORK NY 10016-3319,NATIONAL CHINESE AMERICAN JEWELRY ASSOCIATION INC,A23,683164.0,716723,NY,385 5TH AVE,Cultural & Ethnic Awareness,10016-3319,10016.0,A23,40.7495428,-73.9835108
9,21360,35-30 FARRINGTON ST 2FL,FLUSHING,0.0,157148,113212678,152259,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,157148,NY,35-30 FARRINGTON ST,Cultural & Ethnic Awareness,11354-2827,11354.0,A23,,
