,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
0,0,549,79TH ST AND CENTRAL PARK W,NEW YORK,,0,237240585,50140,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,49863.0,49863,NY,79TH ST AND CENTRAL PARK W,Museums,10024-0000,10024.0,A50,,,American Federation of State County & Municipal Employees
1,1,3267,132 NASSAU ST RM 811,NEW YORK,,0,131101367,134870,36061.0,132 NASSAU ST NEW YORK NY 10038-0000,NEW YORK SOCIETY OF ARCHITECTS,A03,114411.0,128311,NY,132 NASSAU ST,Professional Societies & Associations,10038-0000,10038.0,A03,40.7110029,-74.006693,New York Society of Architects
2,2,3269,255 E 36TH ST,NEW YORK,0.0,400,131182895,52825,36061.0,255 E 36TH ST NEW YORK NY 10016-0000,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,A40,32503.0,63131,NY,255 E 36TH ST,Visual Arts,10016-0000,10016.0,A40,40.7464415714286,-73.9756046666667,New York Press Photographers Assn Inc.
3,3,3320,26A DOGWOOD DR,STATEN ISLAND,,38039,133358453,64216,36085.0,26A DOGWOOD DR STATEN ISLAND NY 10312-1608,U S S INTREPID ASSOCIATION INC,A12,27520.0,61637,NY,26A DOGWOOD DR,Fund Raising & Fund Distribution,10312-1608,10312.0,A12,40.55144235,-74.1982982522603,U S S Intrepid Association Inc.
4,4,3350,15711 22ND AVE,WHITESTONE,0.0,5839,133851772,8248,36081.0,15711 22ND AVE WHITESTONE NY 11357-3910,AMICI DI NARO CLUB S CALOGERO INC,A23,0.0,5839,NY,15711 22ND AVE,Cultural & Ethnic Awareness,11357-3910,11357.0,A23,40.778234000000005,-73.806263,Amici Di Naro Club S Calogero Inc.
5,5,3385,1 HANOVER SQUARE,NEW YORK,126191.0,0,135156110,1076925,36061.0,1 HANOVER SQUARE NEW YORK NY 10004-2601,INDIA HOUSE INC,A23,247825.0,284743,NY,1 HANOVER SQUARE,Cultural & Ethnic Awareness,10004-2601,10004.0,A23,40.7046221,-74.009704,India House Inc.
6,6,5536,PO BOX 5005,NEW YORK,0.0,0,261164518,548121,36061.0,,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,A60,1395760.0,1395810,NY,,Performing Arts,10163-5005,10163.0,A60,,,Woodfield Columbia Pike Acquisition Company
7,7,16212,340 W 55TH ST APT 10B,NEW YORK,,52500,352237120,79415,36061.0,340 W 55TH ST NEW YORK NY 10019-3753,MUSIC ACCORD INC,A68,0.0,52500,NY,340 W 55TH ST,Music,10019-3753,10019.0,A68,40.765921999999996,-73.98559611284341,Music Accord Inc.
8,8,18131,152 MADISON AVE RM 1702,NEW YORK,,0,42565109,182225,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,182434.0,182442,NY,152 MADISON AVE,Cultural & Ethnic Awareness,10016-5464,10016.0,A23,40.7467075,-73.984055,Africa the African Travel Association Inc.
9,9,19690,PO BOX 250807,NEW YORK,,0,300379922,41079,36061.0,,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,A23,34770.0,34770,NY,,Cultural & Ethnic Awareness,10025-1509,10025.0,A23,,,Ethiopian Edir Mutual Assistance Association in New York Inc.
10,10,30417,79TH ST AND CENTRAL PARK W,NEW YORK,,0,136117924,113820,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,115202.0,115249,NY,79TH ST AND CENTRAL PARK W,Museums,10024-0000,10024.0,A50,,,American Federation of State County & Municipal Employees
11,11,32095,322 W 48TH ST 3RD FLR,NEW YORK,,0,43191447,54325,36061.0,322 W 48TH ST NEW YORK NY 10036-1308,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,A68,52533.0,52544,NY,322 W 48TH ST,Music,10036-1308,10036.0,A68,40.7612799,-73.98818145,North American Traveling Musicians Union Local No 1000
12,12,32421,319 E 24TH ST APT 16A,NEW YORK,,30000,132857251,80829,36061.0,319 E 24TH ST NEW YORK NY 10010-4042,DECORATIVE FABRICS ASSOCIATION INC,A40,74800.0,104800,NY,319 E 24TH ST,Visual Arts,10010-4042,10010.0,A40,40.7381955,-73.97904311235409,Decorative Fabrics Association Inc.
13,13,33812,80A 4TH AVE,BROOKLYN,,114068,455454734,61313,36047.0,80A 4TH AVE BROOKLYN NY 11217-1908,VOCAL-NY ACTION FUND INC,A6B,0.0,114076,NY,80A 4TH AVE,Singing & Choral Groups,11217-1908,11217.0,A6B,40.682127200000004,-73.9801054,Vocal-Ny Action Fund Inc.
14,14,34955,135 WILLOW ST APT 903,BROOKLYN,,0,133947683,44210,36047.0,135 WILLOW ST BROOKLYN NY 11201-2216,ASSOCIATION OF KOREAN AMERICAN MEDICAL GRADUATES INC,A23,0.0,48165,NY,135 WILLOW ST,Cultural & Ethnic Awareness,11201-2216,11201.0,A23,40.697148600000006,-73.9956278002878,Association of Korean American Medical Graduates Inc.
15,15,35790,641 LEXINGTON AVE STE 1430,NEW YORK,,0,135313975,14518,36061.0,641 LEXINGTON AVE NEW YORK NY 10022-4503,PERUVIAN-AMERICAN ASSOCIATION INC,A23,16112.0,16112,NY,641 LEXINGTON AVE,Cultural & Ethnic Awareness,10022-4503,10022.0,A23,40.758877000000005,-73.96964409512759,Peruvian-American Association Inc.
16,16,36711,1300 MORRIS PARK AVE STE B502,BRONX,,0,510192888,116040,36005.0,1300 MORRIS PARK AVE BRONX NY 10461-1900,NEW YORK OBSTETRICAL SOCIETY INC,A69,89199.0,89199,NY,1300 MORRIS PARK AVE,Symphony Orchestras,10461-1900,10461.0,A69,40.851003000000006,-73.844241,New York Obstetrical Society Inc.
17,17,38137,4602 30TH AVE,ASTORIA,,15660,112803536,9345,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,1470.0,-19216,NY,4602 30TH AVE,Cultural & Ethnic Awareness,11103-1264,11103.0,A23,40.7619845,-73.91091170000001,Borgetto Cultural Association M S S Addolorata Del Romitello Inc.
18,18,38795,6 E 87TH ST,NEW YORK,,0,130971750,4216,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,3200.0,3200,NY,6 E 87TH ST,Opera,10128-0505,10128.0,A6A,40.778551,-73.95124799999999,Liederkranz of the City of New York
19,19,39236,400 LAFAYETTE ST FL 4,NEW YORK,,0,136092225,7257,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,1437,NY,400 LAFAYETTE ST,Visual Arts,10003-6900,10003.0,A40,40.7280641,-73.9932516,Textile Converters Liquidation Benefit Fund
20,20,41967,PO BOX 872,NEW YORK,,0,133568008,35597,36061.0,,PRIVATE ART DEALERS ASSOCIATION INC,A03,37550.0,50164,NY,,Professional Societies & Associations,10021-0002,10021.0,A03,,,Private Art Dealers Association Inc.
21,21,43107,243 5TH AVE RM 236,NEW YORK,,10500,132990527,181628,36061.0,243 5TH AVE NEW YORK NY 10016-8703,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,155922.0,167682,NY,243 5TH AVE,Music,10016-8703,10016.0,A68,40.7442273,-73.9867585,Music Publishers Association of the United States Inc.
