,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
0,0,877,270 PARK AVE,NEW YORK,0,0,10902003,3202200,36061.0,270 PARK AVE NEW YORK NY 10017-2014,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,A60,3202200.0,3202200,NY,270 PARK AVE,Performing Arts,10017-2014,10017.0,,40.7558452,-73.9756149658992,Phoenix Corporate Tower Funding Company Inc.
1,1,878,245 PARK AVE,NEW YORK,0,0,10902004,2492000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,CORNERSTONE TERRACE FUNDING COMPANY INC,A60,2492000.0,2492000,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,,40.7546124,-73.97467189558441,Cornerstone Terrace Funding Company Inc.
2,2,879,245 PARK AVE,NEW YORK,0,0,10902008,203609,36061.0,245 PARK AVE NEW YORK NY 10167-0002,DULLES STATION FUNDING COMPANY INC,A60,203609.0,203609,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,,40.7546124,-73.97467189558441,Dulles Station Funding Company Inc.
3,3,2658,PO BOX 260001,BELLROSE,0,56918,30560682,53857,36081.0,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,56918,NY,,Cultural & Ethnic Awareness,11426-0001,11426.0,,,,Rajput Cultural Society of North America
4,4,4071,166 MADISON AVE FL 5,NEW YORK,0,0,42565109,275273,36061.0,166 MADISON AVE NEW YORK NY 10016-5432,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,273039.0,273163,NY,166 MADISON AVE,Cultural & Ethnic Awareness,10016-5432,10016.0,,40.74694022222221,-73.9836827777778,Africa the African Travel Association Inc.
5,5,8478,PO BOX 5005,NEW YORK,0,0,61597372,2348899,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,7213773.0,7217511,NY,,Performing Arts,10163-5005,10163.0,,,,Lakemont Industrial Holding Company
6,6,9569,2366 CONEY ISLAND AVE,BROOKLYN,0,0,112022650,150060,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,139630.0,141330,NY,2366 CONEY ISLAND AVE,Visual Arts,11223-5002,11223.0,,40.59926955,-73.96162137854759,Auto Body Craftsmens Guild Inc.
7,7,9862,1110 BRONX RIVER AVE,BRONX,0,0,112579110,44960,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,40120.0,40120,NY,1110 BRONX RIVER AVE,Theater,10472-3102,10472.0,,40.8258070352425,-73.8832604041932,New York Oil Heat Service Managers Association Inc.
8,8,10026,33 CENTER DR,WHITESTONE,0,27623,112803518,36793,36081.0,33 CENTER DR WHITESTONE NY 11357-1072,FRATERNAL CIRCLE OF NATIVES CONVERSAND INC,A23,0.0,38974,NY,33 CENTER DR,Cultural & Ethnic Awareness,11357-1072,11357.0,,,,Fraternal Circle of Natives Conversand Inc.
9,9,10196,7254 65TH PL,GLENDALE,0,0,113097379,219376,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,75975.0,219376,NY,7254 65TH PL,Cultural & Ethnic Awareness,11385-6930,11385.0,,40.6996382,-73.8886334,Serbian Association of New York Inc.
