,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
0,0,915,245 PARK AVE,NEW YORK,0,0,10902003,3175515,36061.0,245 PARK AVE NEW YORK NY 10167-0002,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,A60,3175515.0,3175515,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,,40.7546124,-73.97467189558441,Phoenix Corporate Tower Funding Company Inc.
1,1,916,PO BOX 5005,NEW YORK,0,0,10902004,2492000,36061.0,,CORNERSTONE TERRACE FUNDING COMPANY INC,A60,2492000.0,2492000,NY,,Performing Arts,10163-0000,10163.0,,,,Cornerstone Terrace Funding Company Inc.
2,2,917,PO BOX 5005,NEW YORK,0,0,10902008,2842000,36061.0,,DULLES STATION FUNDING COMPANY INC,A60,2842000.0,2842000,NY,,Performing Arts,10163-0000,10163.0,,,,Dulles Station Funding Company Inc.
3,3,2650,8347 242ND ST,BELLROSE,0,72618,30560682,54281,36081.0,8347 242ND ST BELLROSE NY 11426-1317,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,72618,NY,8347 242ND ST,Cultural & Ethnic Awareness,11426-1317,11426.0,,,,Rajput Cultural Society of North America
4,4,4091,166 MADISON AVE FL 5,NEW YORK,0,0,42565109,291270,36061.0,166 MADISON AVE NEW YORK NY 10016-5432,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,286078.0,286190,NY,166 MADISON AVE,Cultural & Ethnic Awareness,10016-5432,10016.0,,40.74694022222221,-73.9836827777778,Africa the African Travel Association Inc.
5,5,8624,PO BOX 5005,NEW YORK,0,0,61597372,2241019,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,7361742.0,7390692,NY,,Performing Arts,10163-5005,10163.0,,,,Lakemont Industrial Holding Company
6,6,9462,PO BOX 22,BROOKLYN,129990,0,111195683,637522,36047.0,,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,67658.0,289367,NY,,Cultural & Ethnic Awareness,11222-0022,11222.0,,,,Polish National Alliance of Brooklyn U S a
7,7,9651,730 BROADWAY,NEW YORK,0,0,111854964,1114131,36061.0,730 BROADWAY NEW YORK NY 10003-9502,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1420831.0,1522990,NY,730 BROADWAY,Visual Arts,10003-9502,10003.0,,40.729335299999995,-73.99313120000001,Local 522 Ind Roofing & Sheetmetal Crafts Welfare Fund
8,8,9756,2366 CONEY ISLAND AVE,BROOKLYN,0,0,112022650,131755,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,135180.0,135180,NY,2366 CONEY ISLAND AVE,Visual Arts,11223-5002,11223.0,,40.59926955,-73.96162137854759,Auto Body Craftsmens Guild Inc.
9,9,10038,1110 BRONX RIVER AVE,BRONX,0,0,112579110,45789,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,40382.0,40382,NY,1110 BRONX RIVER AVE,Theater,10472-3102,10472.0,,40.8258070352425,-73.8832604041932,New York Oil Heat Service Managers Association Inc.
10,10,10127,1401 BLONDELL AVE,BRONX,211957,0,112689446,355411,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECHNICAL,A60,336689.0,336689,NY,1401 BLONDELL AVE,Performing Arts,10461-2622,10461.0,,40.8430458,-73.8430748,Production Industrial Technical
11,11,10129,1401 BLONDELL AVE,BRONX,244887,0,112691482,6371254,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,A40,6406293.0,6409355,NY,1401 BLONDELL AVE,Visual Arts,10461-2622,10461.0,,40.8430458,-73.8430748,Production Industrial Tech Textile & Prof Employees Loc 124 Wlfr Fund
12,12,10207,4602 30TH AVE,ASTORIA,0,0,112803536,20933,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,8149,NY,4602 30TH AVE,Cultural & Ethnic Awareness,11103-1264,11103.0,,40.7619845,-73.91091170000001,Borgetto Cultural Association M S S Addolorata Del Romitello Inc.
13,13,10375,7254 65TH PL,GLENDALE,0,0,113097379,253893,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,83250.0,250847,NY,7254 65TH PL,Cultural & Ethnic Awareness,11385-6930,11385.0,,40.6996382,-73.8886334,Serbian Association of New York Inc.
14,14,10398,,,0,334,113123913,34046,36081.0,,MALTESE CTR INC,A23,12600.0,39865,NY,,Cultural & Ethnic Awareness,11102,11102.0,,,,Maltese Center Inc.
