,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG
0,1335,200 EASTERN PKWY,BROOKLYN,4726.0,0,116042353,112776,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-6052,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,111881.0,111896.0,NY,200 EASTERN PKWY,Museums,11238-6052,11238.0,A50,40.6709108,-73.9633157304714
1,2347,255 E 36TH ST,NEW YORK,0.0,400,131182895,52825,36061.0,255 E 36TH ST NEW YORK NY 10016-0000,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,A40,32503.0,63131.0,NY,255 E 36TH ST,Visual Arts,10016-0000,10016.0,A40,40.7464415714286,-73.9756046666667
2,6869,132 DELANCY ST 2ND FL,NEW YORK,417990.0,879364,203132925,728443,36061.0,132 DELANCY ST NEW YORK NY 10002-3325,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,A68,0.0,882527.0,NY,132 DELANCY ST,Music,10002-3325,10002.0,A68,,
3,9572,PO BOX 260001,BELLROSE,0.0,51987,30560682,55145,36081.0,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,51987.0,NY,,Cultural & Ethnic Awareness,11426-0001,11426.0,A23,,
4,11603,NEW YORK TERMINAL MKT RM C27,BRONX,0.0,139348,133071647,139348,36005.0,NEW YORK TERMINAL MKT BRONX NY 10474-0000,KOREAN PRODUCE ASSOCIATION INC,A23,0.0,139348.0,NY,NEW YORK TERMINAL MKT,Cultural & Ethnic Awareness,10474-0000,10474.0,A23,,
5,16817,52 VANDERBILT 20TH FL,NEW YORK,0.0,85517,521902671,134194,36061.0,52 VANDERBILT NEW YORK NY 10017-3803,BRITISH-AMERICAN BUSINESS COUNCIL,A23,0.0,85517.0,NY,52 VANDERBILT,Cultural & Ethnic Awareness,10017-3803,10017.0,A23,40.7542036,-73.9772008
6,18666,1000 FIFTH AVENUE,NEW YORK,18505.0,0,131956457,446882,36061.0,1000 FIFTH AVENUE NEW YORK NY 10028-0113,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,451776.0,452104.0,NY,1000 FIFTH AVENUE,Museums,10028-0113,10028.0,A50,42.7976632,-73.9527343
7,27542,1 HANOVER SQUARE,NEW YORK,126191.0,0,135156110,1076925,36061.0,1 HANOVER SQUARE NEW YORK NY 10004-2601,INDIA HOUSE INC,A23,247825.0,284743.0,NY,1 HANOVER SQUARE,Cultural & Ethnic Awareness,10004-2601,10004.0,A23,40.7046221,-74.009704
8,28871,PO BOX 5005,NEW YORK,0.0,0,261164518,548121,36061.0,,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,A60,1395760.0,1395810.0,NY,,Performing Arts,10163-5005,10163.0,A60,,
9,37185,207 CANAL ST FL 3,NEW YORK,0.0,57420,262752840,51315,36061.0,207 CANAL ST NEW YORK NY 10013-4125,CHAO CHIU ASSOCIATION INC,A20,0.0,57420.0,NY,207 CANAL ST,Arts & Culture,10013-4125,10013.0,A20,40.7173646,-73.9987509
